model,epsilon,eps_255,attack,robust_acc,timestamp
Carmon2019Unlabeled,0.01568627450980392,4,apgd-ce,0.7699999809265137,2026-05-22 20:05:20
Carmon2019Unlabeled,0.01568627450980392,4,apgd-t,0.7599999904632568,2026-05-22 20:05:20
Carmon2019Unlabeled,0.01568627450980392,4,fab-t,0.7599999904632568,2026-05-22 20:05:20
Carmon2019Unlabeled,0.01568627450980392,4,square,0.7899999618530273,2026-05-22 20:05:20
Carmon2019Unlabeled,0.03137254901960784,8,apgd-ce,0.5600000023841858,2026-05-22 20:09:23
Carmon2019Unlabeled,0.03137254901960784,8,apgd-t,0.5299999713897705,2026-05-22 20:09:23
Carmon2019Unlabeled,0.03137254901960784,8,fab-t,0.5299999713897705,2026-05-22 20:09:23
Carmon2019Unlabeled,0.03137254901960784,8,square,0.6399999856948853,2026-05-22 20:09:23
Carmon2019Unlabeled,0.047058823529411764,12,apgd-ce,0.38999998569488525,2026-05-22 20:12:59
Carmon2019Unlabeled,0.047058823529411764,12,apgd-t,0.3700000047683716,2026-05-22 20:12:59
Carmon2019Unlabeled,0.047058823529411764,12,fab-t,0.3799999952316284,2026-05-22 20:12:59
Carmon2019Unlabeled,0.047058823529411764,12,square,0.429999977350235,2026-05-22 20:12:59
Rice2020Overfitting,0.01568627450980392,4,apgd-ce,0.75,2026-05-22 20:26:31
Rice2020Overfitting,0.01568627450980392,4,apgd-t,0.7400000095367432,2026-05-22 20:26:31
Rice2020Overfitting,0.01568627450980392,4,fab-t,0.7400000095367432,2026-05-22 20:26:31
Rice2020Overfitting,0.01568627450980392,4,square,0.7699999809265137,2026-05-22 20:26:31
Rice2020Overfitting,0.03137254901960784,8,apgd-ce,0.5600000023841858,2026-05-22 20:37:03
Rice2020Overfitting,0.03137254901960784,8,apgd-t,0.5,2026-05-22 20:37:03
Rice2020Overfitting,0.03137254901960784,8,fab-t,0.5,2026-05-22 20:37:03
Rice2020Overfitting,0.03137254901960784,8,square,0.5799999833106995,2026-05-22 20:37:03
Rice2020Overfitting,0.047058823529411764,12,apgd-ce,0.38999998569488525,2026-05-22 20:45:39
Rice2020Overfitting,0.047058823529411764,12,apgd-t,0.3499999940395355,2026-05-22 20:45:39
Rice2020Overfitting,0.047058823529411764,12,fab-t,0.3499999940395355,2026-05-22 20:45:39
Rice2020Overfitting,0.047058823529411764,12,square,0.429999977350235,2026-05-22 20:45:39
Engstrom2019Robustness,0.01568627450980392,4,apgd-ce,0.75,2026-05-22 20:48:46
Engstrom2019Robustness,0.01568627450980392,4,apgd-t,0.7099999785423279,2026-05-22 20:48:46
Engstrom2019Robustness,0.01568627450980392,4,fab-t,0.7199999690055847,2026-05-22 20:48:46
Engstrom2019Robustness,0.01568627450980392,4,square,0.75,2026-05-22 20:48:46
Engstrom2019Robustness,0.03137254901960784,8,apgd-ce,0.4599999785423279,2026-05-22 20:51:22
Engstrom2019Robustness,0.03137254901960784,8,apgd-t,0.4599999785423279,2026-05-22 20:51:22
Engstrom2019Robustness,0.03137254901960784,8,fab-t,0.4699999988079071,2026-05-22 20:51:22
Engstrom2019Robustness,0.03137254901960784,8,square,0.47999998927116394,2026-05-22 20:51:22
Engstrom2019Robustness,0.047058823529411764,12,apgd-ce,0.29999998211860657,2026-05-22 20:53:39
Engstrom2019Robustness,0.047058823529411764,12,apgd-t,0.26999998092651367,2026-05-22 20:53:39
Engstrom2019Robustness,0.047058823529411764,12,fab-t,0.29999998211860657,2026-05-22 20:53:39
Engstrom2019Robustness,0.047058823529411764,12,square,0.3700000047683716,2026-05-22 20:53:39
Rebuffi2021Fixing_28_10_cutmix_ddpm,0.01568627450980392,4,apgd-ce,0.7599999904632568,2026-05-22 20:59:02
Rebuffi2021Fixing_28_10_cutmix_ddpm,0.01568627450980392,4,apgd-t,0.75,2026-05-22 20:59:02
Rebuffi2021Fixing_28_10_cutmix_ddpm,0.01568627450980392,4,fab-t,0.75,2026-05-22 20:59:02
Rebuffi2021Fixing_28_10_cutmix_ddpm,0.01568627450980392,4,square,0.7799999713897705,2026-05-22 20:59:02
Rebuffi2021Fixing_28_10_cutmix_ddpm,0.03137254901960784,8,apgd-ce,0.6699999570846558,2026-05-22 21:04:12
Rebuffi2021Fixing_28_10_cutmix_ddpm,0.03137254901960784,8,apgd-t,0.6299999952316284,2026-05-22 21:04:12
Rebuffi2021Fixing_28_10_cutmix_ddpm,0.03137254901960784,8,fab-t,0.6299999952316284,2026-05-22 21:04:12
Rebuffi2021Fixing_28_10_cutmix_ddpm,0.03137254901960784,8,square,0.6800000071525574,2026-05-22 21:04:12
Rebuffi2021Fixing_28_10_cutmix_ddpm,0.047058823529411764,12,apgd-ce,0.47999998927116394,2026-05-22 21:08:33
Rebuffi2021Fixing_28_10_cutmix_ddpm,0.047058823529411764,12,apgd-t,0.4399999976158142,2026-05-22 21:08:33
Rebuffi2021Fixing_28_10_cutmix_ddpm,0.047058823529411764,12,fab-t,0.4399999976158142,2026-05-22 21:08:33
Rebuffi2021Fixing_28_10_cutmix_ddpm,0.047058823529411764,12,square,0.5,2026-05-22 21:08:33
Gowal2021Improving_28_10_ddpm_100m,0.01568627450980392,4,apgd-ce,0.8100000023841858,2026-05-22 21:14:19
Gowal2021Improving_28_10_ddpm_100m,0.01568627450980392,4,apgd-t,0.8100000023841858,2026-05-22 21:14:19
Gowal2021Improving_28_10_ddpm_100m,0.01568627450980392,4,fab-t,0.8100000023841858,2026-05-22 21:14:19
Gowal2021Improving_28_10_ddpm_100m,0.01568627450980392,4,square,0.8399999737739563,2026-05-22 21:14:19
Gowal2021Improving_28_10_ddpm_100m,0.03137254901960784,8,apgd-ce,0.6699999570846558,2026-05-22 21:19:27
Gowal2021Improving_28_10_ddpm_100m,0.03137254901960784,8,apgd-t,0.6399999856948853,2026-05-22 21:19:27
Gowal2021Improving_28_10_ddpm_100m,0.03137254901960784,8,fab-t,0.6399999856948853,2026-05-22 21:19:27
Gowal2021Improving_28_10_ddpm_100m,0.03137254901960784,8,square,0.6899999976158142,2026-05-22 21:19:27
Gowal2021Improving_28_10_ddpm_100m,0.047058823529411764,12,apgd-ce,0.5399999618530273,2026-05-22 21:24:01
Gowal2021Improving_28_10_ddpm_100m,0.047058823529411764,12,apgd-t,0.5,2026-05-22 21:24:01
Gowal2021Improving_28_10_ddpm_100m,0.047058823529411764,12,fab-t,0.5,2026-05-22 21:24:01
Gowal2021Improving_28_10_ddpm_100m,0.047058823529411764,12,square,0.5699999928474426,2026-05-22 21:24:01
